                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.1675,                0.83449,                0.81157,                0.69463,                0.43531,                0.59171,                0.45925,                0.95091,                0.83393,                0.80567,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.0636,                0.79748,                0.80967,                0.70987,                0.46973,                0.61075,                0.47436,                0.94325,                0.82257,                0.80398,               0.006931,               0.006931,               0.006931
                     64,                 1.2028,                0.84917,                0.81699,                0.59374,                  0.536,                0.61526,                0.47022,                0.93909,                0.82041,                0.80342,              0.0068815,              0.0068815,              0.0068815
                     65,                  1.162,                 0.8146,                0.81637,                0.61115,                0.49606,                0.59819,                0.46496,                0.94601,                0.81065,                 0.8031,               0.006832,               0.006832,               0.006832
                     66,                 1.0883,                0.76927,                0.81468,                0.62259,                0.50236,                0.60179,                 0.4691,                0.94085,                0.82002,                0.80523,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.1082,                0.77458,                0.81586,                 0.5904,                0.52567,                0.58788,                0.45464,                0.94082,                0.79921,                0.80323,               0.006733,               0.006733,               0.006733
                     68,                 1.1417,                0.78447,                0.81135,                0.62975,                0.55189,                0.60846,                0.47805,                0.92353,                0.79383,                0.80347,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.1209,                0.76652,                0.81311,                0.59696,                0.55664,                0.63401,                0.49116,                0.94444,                  0.786,                0.80351,               0.006634,               0.006634,               0.006634
                     70,                 1.0558,                0.77805,                0.80993,                0.61016,                0.57834,                 0.6227,                0.48302,                0.92348,                0.79584,                0.80263,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.1073,                0.75302,                0.81002,                0.71412,                0.50065,                 0.6346,                0.49286,                0.95115,                0.76967,                0.80302,               0.006535,               0.006535,               0.006535
                     72,                 1.1202,                 0.7676,                0.81301,                0.68813,                0.53015,                0.63109,                0.48983,                0.97262,                 0.7728,                0.80449,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.0126,                0.73275,                0.80578,                0.62341,                0.55202,                0.63607,                0.49648,                0.93172,                0.77512,                0.80255,               0.006436,               0.006436,               0.006436
                     74,                 1.0874,                0.73663,                0.81213,                0.58861,                 0.6041,                0.63964,                0.49898,                0.94103,                0.78671,                0.80369,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.1296,                0.73031,                0.81191,                0.62663,                0.58439,                0.65481,                0.51385,                 0.9612,                0.76268,                0.80412,               0.006337,               0.006337,               0.006337
                     76,                 1.1056,                0.73048,                0.81234,                 0.6554,                0.56348,                0.65855,                0.52112,                0.94956,                0.75055,                0.80037,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.1129,                0.76123,                0.81166,                0.67568,                0.57618,                0.65822,                0.51655,                0.93589,                0.74601,                0.80083,               0.006238,               0.006238,               0.006238
                     78,                 1.1825,                0.72942,                0.82114,                0.67991,                0.58531,                0.66747,                0.52389,                0.97097,                0.73595,                0.80386,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.0796,                0.71055,                 0.8083,                 0.5759,                 0.6356,                0.65718,                0.51641,                0.95415,                 0.7414,                0.80238,               0.006139,               0.006139,               0.006139
                     80,                 1.1501,                0.74172,                0.81668,                 0.6765,                0.57335,                0.67256,                0.52292,                0.96473,                0.74263,                0.80272,              0.0060895,              0.0060895,              0.0060895
