                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.3064,                0.89131,                0.81426,                 0.6383,                0.47074,                0.58355,                0.46128,                0.99605,                0.86884,                0.80184,               0.006931,               0.006931,               0.006931
                     64,                 1.3331,                0.89236,                0.80771,                0.67901,                 0.4658,                0.57865,                0.45433,                0.99722,                0.86459,                0.79935,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.2547,                0.83449,                0.81187,                0.58535,                0.53462,                0.58532,                0.45671,                 1.0102,                0.88292,                0.79958,               0.006832,               0.006832,               0.006832
                     66,                   1.27,                0.83977,                0.81187,                0.64475,                0.48038,                0.58404,                0.45368,                  1.016,                0.87072,                0.80136,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.2369,                0.82619,                0.80989,                0.64833,                0.50722,                0.59776,                0.46763,                  1.026,                0.85893,                 0.8026,               0.006733,               0.006733,               0.006733
                     68,                 1.3075,                0.84054,                0.81854,                0.67933,                0.49376,                0.61115,                0.47622,                  1.012,                 0.8394,                0.80162,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.2621,                0.83039,                0.81156,                0.67004,                  0.472,                0.60427,                0.46721,                 1.0348,                0.84009,                0.80054,               0.006634,               0.006634,               0.006634
                     70,                 1.2529,                0.77213,                0.81819,                0.62073,                0.54304,                0.61993,                0.48797,                 1.0534,                0.83829,                0.80046,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.2417,                0.83499,                0.81346,                0.65215,                0.51071,                0.62063,                0.48794,                 1.0318,                0.83096,                0.80003,               0.006535,               0.006535,               0.006535
                     72,                  1.297,                0.81395,                0.81138,                0.60934,                0.54033,                0.62035,                0.48691,                 1.0336,                 0.8273,                0.80142,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.2243,                0.80379,                0.80842,                0.56388,                0.55797,                0.61853,                0.48272,                 1.0573,                0.82814,                0.80162,               0.006436,               0.006436,               0.006436
                     74,                 1.3059,                   0.79,                0.80646,                0.71637,                0.47314,                0.62009,                0.48797,                 1.0431,                0.81901,                0.80076,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.3263,                0.76533,                0.81812,                0.73408,                0.46637,                0.62371,                0.49136,                 1.0286,                 0.8112,                0.79958,               0.006337,               0.006337,               0.006337
                     76,                 1.2388,                0.76181,                0.80552,                 0.6132,                0.53413,                0.62313,                0.48821,                 1.0542,                0.80714,                0.80002,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.2454,                0.77284,                 0.8132,                0.57207,                0.59455,                0.62864,                0.49164,                 1.0443,                 0.8019,                0.79839,               0.006238,               0.006238,               0.006238
                     78,                  1.284,                0.75839,                0.81406,                0.57137,                0.58206,                0.63631,                0.49837,                 1.0301,                0.80121,                0.79797,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.1977,                0.74925,                0.81133,                0.55974,                0.61208,                0.65003,                0.51277,                 1.0403,                0.79762,                 0.7974,               0.006139,               0.006139,               0.006139
                     80,                 1.3086,                0.75618,                0.81211,                0.59245,                 0.5801,                0.63114,                0.49586,                  1.042,                0.79568,                 0.7997,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.2822,                0.76347,                0.81622,                0.65217,                0.55097,                0.64306,                0.50637,                 1.0452,                0.77795,                0.79925,                0.00604,                0.00604,                0.00604
                     82,                 1.2637,                0.75411,                0.81242,                 0.6345,                0.55824,                0.62531,                0.49014,                 1.0474,                0.78526,                0.79945,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.2866,                0.74849,                 0.8072,                0.57301,                0.59803,                0.65318,                0.51782,                 1.0306,                0.78095,                0.79859,               0.005941,               0.005941,               0.005941
                     84,                 1.2937,                0.73281,                0.80959,                0.70614,                0.50948,                0.63921,                0.50745,                 1.0401,                0.77522,                0.79927,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.2893,                0.74254,                0.80439,                0.61466,                0.60481,                0.65823,                0.51828,                 1.0425,                0.76564,                0.79903,               0.005842,               0.005842,               0.005842
                     86,                  1.251,                0.71682,                0.80826,                0.54165,                0.62312,                0.65737,                 0.5201,                 1.0283,                0.77786,                0.79725,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.2721,                0.72306,                0.80903,                0.69792,                0.53139,                0.65092,                0.51295,                 1.0348,                0.76488,                0.79833,               0.005743,               0.005743,               0.005743
                     88,                 1.3511,                0.72549,                0.80798,                0.59459,                0.58886,                0.65916,                0.52324,                 1.0363,                0.75743,                0.79838,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.2346,                0.71171,                0.80662,                0.65306,                 0.5742,                 0.6577,                0.52038,                 1.0591,                0.75243,                0.79861,               0.005644,               0.005644,               0.005644
                     90,                  1.231,                0.70224,                0.80745,                0.65897,                0.56425,                0.65376,                0.51401,                 1.0653,                0.74072,                0.79817,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.3489,                0.70486,                0.79608,                0.62527,                0.61153,                0.66154,                0.52087,                 1.0782,                0.75744,                0.79805,               0.005545,               0.005545,               0.005545
                     92,                 1.3092,                0.70703,                0.80624,                0.65483,                0.58518,                0.67706,                 0.5342,                 1.0593,                0.74018,                0.79849,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.2869,                0.66106,                0.81129,                 0.6984,                0.54989,                0.68295,                0.53969,                 1.0701,                0.74402,                0.79794,               0.005446,               0.005446,               0.005446
                     94,                 1.2441,                0.68451,                0.80517,                0.58331,                 0.6439,                0.66166,                0.52053,                 1.0665,                0.73662,                 0.7983,              0.0053965,              0.0053965,              0.0053965
                     95,                  1.268,                0.68667,                0.80952,                0.61571,                 0.6002,                0.66754,                0.52957,                 1.0495,                0.73737,                0.79764,               0.005347,               0.005347,               0.005347
                     96,                 1.2565,                0.66372,                0.80965,                0.70578,                0.56954,                0.66919,                 0.5251,                 1.0555,                 0.7315,                0.79757,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.2803,                0.68064,                 0.8034,                0.61608,                0.62687,                0.67556,                0.53059,                 1.0604,                0.72799,                0.79812,               0.005248,               0.005248,               0.005248
                     98,                 1.2996,                0.68741,                0.80416,                0.71376,                0.55578,                0.68098,                0.53626,                 1.0588,                0.71883,                0.79669,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.2766,                0.66405,                 0.8147,                0.68023,                0.59111,                0.68559,                0.53937,                  1.052,                 0.7199,                0.79742,               0.005149,               0.005149,               0.005149
                    100,                 1.1758,                0.64513,                0.80232,                0.61893,                 0.5984,                 0.6902,                0.54767,                 1.0474,                 0.7124,                0.79677,              0.0050995,              0.0050995,              0.0050995
                    101,                  1.215,                0.64511,                0.80212,                0.66536,                0.59885,                0.68447,                0.53818,                 1.0516,                0.71208,                0.79635,                0.00505,                0.00505,                0.00505
                    102,                 1.2592,                0.64726,                0.80652,                0.64485,                0.60037,                0.67929,                0.53601,                 1.0392,                0.70822,                0.79594,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.2434,                0.65172,                0.80722,                0.71756,                0.55473,                0.67945,                0.53055,                 1.0528,                0.70667,                 0.7961,               0.004951,               0.004951,               0.004951
                    104,                 1.2155,                0.65508,                0.80455,                0.67573,                 0.5904,                0.69126,                0.54008,                 1.0519,                  0.696,                0.79586,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.2348,                 0.6586,                0.80567,                0.66943,                0.60099,                 0.6921,                0.54155,                 1.0638,                 0.6986,                 0.7966,               0.004852,               0.004852,               0.004852
                    106,                 1.3055,                0.65573,                0.81141,                0.69411,                0.59474,                0.69441,                0.54389,                 1.0469,                0.69486,                0.79667,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.1752,                0.61983,                0.79905,                 0.6466,                0.61998,                0.68699,                0.53904,                 1.0495,                0.69695,                0.79636,               0.004753,               0.004753,               0.004753
                    108,                 1.2044,                0.62114,                0.80427,                0.66863,                0.61576,                0.69682,                0.55147,                 1.0459,                0.68815,                0.79621,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.2616,                0.63349,                0.80448,                0.69454,                0.59473,                0.69848,                0.54906,                 1.0512,                0.68798,                0.79587,               0.004654,               0.004654,               0.004654
                    110,                 1.3018,                0.64412,                0.80397,                0.69821,                0.59126,                0.69392,                0.54754,                 1.0432,                0.69364,                0.79605,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.2217,                 0.6155,                0.80235,                0.72851,                0.57851,                0.69167,                0.54764,                 1.0485,                 0.6937,                0.79558,               0.004555,               0.004555,               0.004555
                    112,                 1.2026,                0.61806,                0.80042,                0.74734,                0.57087,                0.69442,                0.55061,                 1.0572,                0.69548,                0.79553,              0.0045055,              0.0045055,              0.0045055
                    113,                  1.229,                0.60701,                0.80596,                0.77815,                0.55566,                0.70035,                 0.5572,                 1.0566,                0.69213,                0.79588,               0.004456,               0.004456,               0.004456
                    114,                  1.269,                0.63921,                 0.8014,                0.76541,                0.56999,                0.70373,                 0.5583,                 1.0591,                0.69208,                0.79628,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.1851,                0.59788,                0.81027,                0.68349,                0.60771,                0.70349,                0.55949,                 1.0638,                 0.6898,                0.79563,               0.004357,               0.004357,               0.004357
                    116,                 1.1539,                0.58797,                 0.8069,                  0.668,                0.62337,                0.69593,                0.55427,                 1.0692,                0.68826,                0.79551,              0.0043075,              0.0043075,              0.0043075
