                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                 0.7267,                0.49755,                0.80643,                0.74039,                0.66325,                  0.755,                0.60369,                0.69611,                0.53781,                0.79536,              0.0076735,              0.0076735,              0.0076735
                     97,                0.74934,                0.51051,                0.80118,                0.75407,                0.64506,                0.76066,                0.61541,                0.69528,                0.54397,                0.79543,              0.0076488,              0.0076488,              0.0076488
                     98,                0.76252,                0.49979,                0.80206,                0.67384,                0.69867,                0.77054,                0.61849,                 0.6952,                0.54486,                0.79449,               0.007624,               0.007624,               0.007624
                     99,                0.74009,                0.50452,                0.80092,                0.71226,                0.68091,                0.75623,                0.60527,                0.69041,                0.53363,                0.79331,              0.0075993,              0.0075993,              0.0075993
                    100,                0.76518,                0.50738,                0.80296,                 0.6557,                0.73341,                0.76233,                0.61182,                0.68699,                0.52511,                0.79233,              0.0075745,              0.0075745,              0.0075745
                    101,                0.77228,                0.50278,                0.80547,                0.69943,                0.68407,                0.75663,                0.60332,                0.69273,                0.52727,                0.79295,              0.0075498,              0.0075498,              0.0075498
                    102,                0.71863,                0.48271,                0.79292,                0.69065,                0.70249,                0.76873,                0.61639,                0.68658,                0.51878,                0.79281,               0.007525,               0.007525,               0.007525
                    103,                0.73688,                0.50063,                0.80254,                0.67318,                 0.7316,                0.77703,                0.62413,                0.68944,                0.52967,                0.79306,              0.0075003,              0.0075003,              0.0075003
                    104,                0.71872,                0.49157,                0.79743,                0.69263,                0.70501,                0.76718,                0.61348,                0.68495,                0.52663,                0.79239,              0.0074755,              0.0074755,              0.0074755
                    105,                0.71964,                 0.4975,                0.79699,                0.72885,                0.68576,                0.75795,                 0.6088,                 0.6893,                0.52631,                0.79265,              0.0074507,              0.0074507,              0.0074507
                    106,                0.69916,                0.47698,                0.79577,                 0.8398,                 0.6097,                0.75321,                0.60633,                0.68651,                0.52883,                0.79301,               0.007426,               0.007426,               0.007426
